0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"K. Thomas, .W. Szczerbiak, .E. Watson, .N. Collison, .D. West",SEA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-13-2007
"W. Szczerbiak, .E. Watson, .C. Wilcox, .D. West, .J. Green",SEA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-13-2007
"W. Szczerbiak, .E. Watson, .N. Collison, .D. West, .K. Durant",SEA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-13-2007
"W. Szczerbiak, .L. Ridnour, .D. West, .K. Durant, .J. Green",SEA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-13-2007
"W. Szczerbiak, .N. Collison, .L. Ridnour, .D. West, .K. Durant",SEA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-13-2007
"M. Finley, .B. Bowen, .T. Duncan, .T. Parker, .F. Oberto",SAS,1,7.7,14.0,6.0,15.0,40.0,1.0,1.0,100,1.0,2.0,50.0,5.0,3.0,8.0,5.0,2.0,1.0,0.0,1.0,5.0,1.0,0.0,11-15-2007
"M. Finley, .J. Vaughn, .F. Elson, .M. Ginobili, .M. Bonner",SAS,1,5.4,11.0,5.0,9.0,55.6,1.0,3.0,33.3,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,11-15-2007
"B. Barry, .M. Finley, .T. Duncan, .M. Ginobili, .T. Parker",SAS,1,3.7,8.0,3.0,7.0,42.9,0.0,1.0,0.0,2.0,3.0,66.7,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,-3.0,11-15-2007
"B. Bowen, .T. Duncan, .F. Elson, .M. Ginobili, .T. Parker",SAS,1,3.6,6.0,3.0,7.0,42.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,-6.0,11-15-2007
"J. Vaughn, .F. Elson, .I. Udoka, .M. Bonner, .D. Washington",SAS,1,3.3,3.0,1.0,4.0,25.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,11-15-2007
"B. Barry, .J. Vaughn, .M. Ginobili, .M. Bonner, .F. Oberto",SAS,1,3.1,7.0,3.0,6.0,50.0,1.0,1.0,100,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,11-15-2007
"T. Duncan, .M. Ginobili, .I. Udoka, .T. Parker, .F. Oberto",SAS,1,3.1,8.0,2.0,8.0,25.0,0.0,1.0,0.0,4.0,4.0,100,3.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,11-15-2007
"B. Barry, .T. Duncan, .M. Ginobili, .T. Parker, .M. Bonner",SAS,1,2.4,8.0,2.0,2.0,100,1.0,1.0,100,3.0,4.0,75.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,11-15-2007
"M. Finley, .T. Duncan, .M. Ginobili, .T. Parker, .M. Bonner",SAS,1,2.4,6.0,2.0,5.0,40.0,0.0,1.0,0.0,2.0,2.0,100,2.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,5.0,3.0,11-15-2007
"B. Bowen, .T. Duncan, .M. Ginobili, .T. Parker, .F. Oberto",SAS,1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,-8.0,11-15-2007
"B. Barry, .B. Bowen, .T. Duncan, .J. Vaughn, .M. Bonner",SAS,1,1.8,4.0,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,11-15-2007
"B. Barry, .M. Ginobili, .T. Parker, .M. Bonner, .F. Oberto",SAS,1,1.8,3.0,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,-2.0,11-15-2007
"B. Bowen, .T. Duncan, .J. Vaughn, .F. Elson, .M. Ginobili",SAS,1,1.6,4.0,1.0,3.0,33.3,0.0,1.0,0.0,2.0,3.0,66.7,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,11-15-2007
"M. Finley, .T. Duncan, .F. Elson, .M. Ginobili, .T. Parker",SAS,1,1.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-4.0,11-15-2007
"B. Barry, .M. Finley, .B. Bowen, .T. Duncan, .T. Parker",SAS,1,1.1,3.0,1.0,2.0,50.0,1.0,1.0,100,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,11-15-2007
"M. Finley, .B. Bowen, .T. Duncan, .T. Parker, .M. Bonner",SAS,1,0.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-5.0,11-15-2007
"M. Finley, .T. Duncan, .I. Udoka, .T. Parker, .F. Oberto",SAS,1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-2.0,11-15-2007
"T. Duncan, .F. Elson, .M. Ginobili, .I. Udoka, .T. Parker",SAS,1,0.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,11-15-2007
"M. Finley, .F. Elson, .M. Ginobili, .T. Parker, .M. Bonner",SAS,1,0.6,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-15-2007
"M. Finley, .B. Bowen, .T. Duncan, .F. Elson, .T. Parker",SAS,1,0.5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,100,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,11-15-2007
"B. Barry, .M. Finley, .M. Ginobili, .T. Parker, .F. Oberto",SAS,1,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11-15-2007
"M. Finley, .T. Duncan, .I. Udoka, .T. Parker, .M. Bonner",SAS,1,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,11-15-2007
"B. Barry, .B. Bowen, .J. Vaughn, .M. Bonner, .F. Oberto",SAS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-15-2007
"B. Barry, .J. Vaughn, .F. Elson, .I. Udoka, .D. Washington",SAS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-15-2007
"B. Barry, .J. Vaughn, .F. Elson, .M. Ginobili, .I. Udoka",SAS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-15-2007
"M. Finley, .B. Bowen, .T. Duncan, .T. Parker, .F. Oberto",SAS,1,7.7,14.0,6.0,15.0,40.0,1.0,1.0,100,1.0,2.0,50.0,5.0,3.0,8.0,5.0,2.0,1.0,0.0,1.0,5.0,1.0,0.0,11-15-2007
"M. Finley, .J. Vaughn, .F. Elson, .M. Ginobili, .M. Bonner",SAS,1,5.4,11.0,5.0,9.0,55.6,1.0,3.0,33.3,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,11-15-2007
"B. Barry, .M. Finley, .T. Duncan, .M. Ginobili, .T. Parker",SAS,1,3.7,8.0,3.0,7.0,42.9,0.0,1.0,0.0,2.0,3.0,66.7,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,-3.0,11-15-2007
"B. Bowen, .T. Duncan, .F. Elson, .M. Ginobili, .T. Parker",SAS,1,3.6,6.0,3.0,7.0,42.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,-6.0,11-15-2007
