,lineup,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM,GAMEDAY
7,".C. Maggette, .D. Dickau, .C. Kaman, .Q. Ross, .A. Thornton ",1,2.0,3.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-3.0,LAC,Mar 1 2008
8,".A. Williams, .C. Maggette, .D. Dickau, .J. Powell, .A. Thornton ",1,1.6,4.0,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,LAC,Mar 1 2008
9,".A. Williams, .D. Dickau, .C. Kaman, .Q. Ross, .A. Thornton ",1,1.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.0,LAC,Mar 1 2008
10,".A. Williams, .B. Knight, .C. Maggette, .J. Powell, .A. Thornton ",1,1.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,LAC,Mar 1 2008
11,".B. Knight, .C. Mobley, .C. Maggette, .C. Kaman, .A. Thornton ",1,1.1,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,LAC,Mar 1 2008
12,".C. Mobley, .D. Dickau, .Q. Ross, .J. Powell, .A. Thornton ",1,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,LAC,Mar 1 2008
13,".C. Mobley, .D. Dickau, .C. Kaman, .Q. Ross, .A. Thornton ",1,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,LAC,Mar 1 2008
14,".D. Dickau, .Q. Ross, .J. Powell, .A. Barrett, .A. Thornton ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,Mar 1 2008
0,".S. Cassell, .C. Maggette, .C. Kaman, .Q. Ross, .J. Powell ",1,16.6,23.0,11.0,27.0,40.7,0.0,2.0,0.0,1.0,4.0,25.0,1.0,12.0,13.0,9.0,2.0,0.0,3.0,1.0,7.0,3.0,-15.0,LAC,Jan 2 2008
1,".B. Knight, .C. Mobley, .C. Maggette, .C. Kaman, .A. Thornton ",1,14.1,32.0,13.0,23.0,56.5,1.0,2.0,50.0,5.0,6.0,83.3,1.0,12.0,13.0,10.0,2.0,1.0,2.0,2.0,7.0,3.0,10.0,LAC,Jan 2 2008
